Fecha de partido;Equipo Local;Equipo Visitante;Distancia recorrida por equipo visitante[mts]
1;"Audax Italiano";"Cobresal";815630
1;"Audax Italiano";"Colo-Colo";4586.01
1;"Audax Italiano";"Coquimbo Unido";404022
1;"Audax Italiano";"Curico Unido";170302
1;"Audax Italiano";"Deportes Antofagasta";1.0977e+06
1;"Audax Italiano";"Deportes La Serena";408601
1;"Audax Italiano";"Everton";106466
1;"Audax Italiano";"Huachipato";424980
1;"Audax Italiano";"Nublense";369368
1;"Audax Italiano";"O'Higgins";72334
1;"Audax Italiano";"Palestino";9032.26
1;"Audax Italiano";"Santiago Wanderers";114299
1;"Audax Italiano";"Union Espanola";16900.9
1;"Audax Italiano";"Union La Calera";102086
1;"Audax Italiano";"Universidad Catolica";17648.7
1;"Audax Italiano";"Universidad de Chile";8996.98
1;"Audax Italiano";"Universidad de Concepcion";426516
2;"Cobresal";"Colo-Colo";812154
2;"Cobresal";"Coquimbo Unido";445636
2;"Cobresal";"Curico Unido";981886
2;"Cobresal";"Deportes Antofagasta";297548
2;"Cobresal";"Deportes La Serena";436920
2;"Cobresal";"Everton";774152
2;"Cobresal";"Huachipato";1.21335e+06
2;"Cobresal";"Nublense";1.17627e+06
2;"Cobresal";"O'Higgins";887712
2;"Cobresal";"Palestino";814493
2;"Cobresal";"Santiago Wanderers";777466
2;"Cobresal";"Union Espanola";801507
2;"Cobresal";"Union La Calera";742052
2;"Cobresal";"Universidad Catolica";798809
2;"Cobresal";"Universidad de Chile";807561
2;"Cobresal";"Universidad de Concepcion";1.2176e+06
3;"Colo-Colo";"Coquimbo Unido";399820
3;"Colo-Colo";"Curico Unido";173015
3;"Colo-Colo";"Deportes Antofagasta";1.09394e+06
3;"Colo-Colo";"Deportes La Serena";404442
3;"Colo-Colo";"Everton";102259
3;"Colo-Colo";"Huachipato";426869
3;"Colo-Colo";"Nublense";371976
3;"Colo-Colo";"O'Higgins";75613.1
3;"Colo-Colo";"Palestino";6394.76
3;"Colo-Colo";"Santiago Wanderers";110197
3;"Colo-Colo";"Union Espanola";12370.4
3;"Colo-Colo";"Union La Calera";97500.8
3;"Colo-Colo";"Universidad Catolica";15711.4
3;"Colo-Colo";"Universidad de Chile";4699.85
3;"Colo-Colo";"Universidad de Concepcion";428501
4;"Coquimbo Unido";"Curico Unido";557077
4;"Coquimbo Unido";"Deportes Antofagasta";706085
4;"Coquimbo Unido";"Deportes La Serena";10274.8
4;"Coquimbo Unido";"Everton";339565
4;"Coquimbo Unido";"Huachipato";772664
4;"Coquimbo Unido";"Nublense";743195
4;"Coquimbo Unido";"O'Higgins";471815
4;"Coquimbo Unido";"Palestino";400335
4;"Coquimbo Unido";"Santiago Wanderers";341124
4;"Coquimbo Unido";"Union Espanola";387792
4;"Coquimbo Unido";"Union La Calera";313724
4;"Coquimbo Unido";"Universidad Catolica";389617
4;"Coquimbo Unido";"Universidad de Chile";395137
4;"Coquimbo Unido";"Universidad de Concepcion";777542
5;"Curico Unido";"Deportes Antofagasta";1.25951e+06
5;"Curico Unido";"Deportes La Serena";563012
5;"Curico Unido";"Everton";219730
5;"Curico Unido";"Huachipato";260414
5;"Curico Unido";"Nublense";199142
5;"Curico Unido";"O'Higgins";99421.3
5;"Curico Unido";"Palestino";169564
5;"Curico Unido";"Santiago Wanderers";220316
